Year,World -  Arrival (in Million),World - Percentage change,India - Arrival (in Million),India - Percentage change,Percentage share of India,Rank of India
2000,683.3,7.8,2.65,6.7,0.39,50
2001,683.4,0,2.54,-4.2,0.37,51
2002,703.2,2.9,2.38,-6.3,0.34,54
2003,691,-1.7,2.73,14.7,0.4,51
2004,762,10.3,3.46,26.7,0.45,44
2005,803.4,5.4,3.92,13.3,0.49,43
2006,846.6,5.3,4.45,13.5,0.53,44
2007,894,5.7,5.08,14.2,0.57,41
2008,917,2.6,5.28,3.9,0.58,41
2009,883,-3.7,5.17,-2.1,0.59,41
2010,948,7.4,5.78,11.8,0.61,42
2011,994,4.9,6.31,9.2,0.63,38
2012,1039,4.5,6.58,4.3,0.63,41
2013,1087,4.6,6.97,5.9,0.64,41
2014,1137,4.6,13.11,NA,1.15,24
2015,1195,5.1,13.28,1.3,1.11,24
2016,1239,3.7,14.57,9.7,1.18,26
2017,1323,6.8,15.54,6.7,1.17,26
